Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
2145460;1000147214727;6,387878E+13;0,5092163;2,493147;0,08141133;0,3989173;0,5490092;-0,05088265;VALID;0,1434901;-0,1262167;0,9815701;0;0;0;62,425;VALID;0,1799664;-0,1254541;0,9756399;-0,0311216;0;0;0,406026;5,121975;12,61489;0,7711703;VALID;0,1055968;-0,1268234;0,9862885;0,0311216;0;0;0,4180906;5,348966;12,7938;0,7671949;0,8192783;0,9050491;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2145463;1000147214742;6,387878E+13;0,5093775;2,493262;0,08138005;0,3988402;0,5490469;-0,05066534;VALID;0,143566;-0,1269054;0,9814702;0;0;0;62,425;VALID;0,1799208;-0,1261412;0,9755598;-0,0311216;0;0;0,4066732;5,13014;12,61489;0,7714835;VALID;0,1059755;-0,1275117;0,9861592;0,0311216;0;0;0,4186639;5,356301;12,7938;0,7655067;0,8239465;0,9292123;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2145465;1000147214752;6,387878E+13;0,5096492;2,493294;0,0814884;0,398698;0,5490407;-0,05039779;VALID;0,1435869;-0,1271992;0,9814292;0;0;0;62,425;VALID;0,1799106;-0,1264338;0,9755238;-0,0311216;0;0;0,4070247;5,134573;12,61489;0,7719005;VALID;0,1061215;-0,1278053;0,9861055;0,0311216;0;0;0,4190161;5,360806;12,7938;0,7645803;0,8256771;0,9588979;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2145468;1000147214767;6,387878E+13;0,5099791;2,493378;0,08170151;0,3985982;0,5489798;-0,05027209;VALID;0,1437624;-0,1277639;0,9813301;0;0;0;62,425;VALID;0,1801699;-0,1269922;0,9754034;-0,0311216;0;0;0,4086931;5,155621;12,61489;0,7722713;VALID;0,1063729;-0,1283725;0,9860047;0,0311216;0;0;0,4194341;5,366154;12,7938;0,7633199;0,8255271;0,9532589;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2145471;1000147214782;6,387878E+13;0,5103182;2,493425;0,08185067;0,3981974;0,5490921;-0,0500282;VALID;0,144004;-0,1284386;0,9812066;0;0;0;62,425;VALID;0,1804669;-0,1276604;0,9752613;-0,0311216;0;0;0,4091606;5,161518;12,61489;0,7722356;VALID;0,106575;-0,1290522;0,9858941;0,0311216;0;0;0,4201252;5,374995;12,7938;0,7621704;0,8244047;0,8859923;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2145473;1000147214792;6,387878E+13;0,5107935;2,493541;0,08215945;0,3978061;0,5492598;-0,04993968;VALID;0,1439989;-0,1287933;0,9811608;0;0;0;62,425;VALID;0,1802081;-0,128019;0,9752621;-0,0311216;0;0;0,4090632;5,160289;12,61489;0,7719909;VALID;0,1070194;-0,1294023;0,9858001;0,0311216;0;0;0,4214061;5,391383;12,7938;0,7612587;0,8323142;0,7526068;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2145476;1000147214807;6,387878E+13;0,5113457;2,493566;0,08232583;0,3970327;0,5494633;-0,04946835;VALID;0,1441583;-0,1274285;0,9813156;0;0;0;62,425;VALID;0,179442;-0,1266834;0,9755777;-0,0311216;0;0;0,4087633;5,156506;12,61489;0,7713506;VALID;0,1086777;-0,1280108;0,9858004;0,0311216;0;0;0,4230837;5,412846;12,7938;0,760428;0,8607565;0,6125308;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2145478;1000147214817;6,387878E+13;0,5118867;2,493673;0,08266198;0,3967332;0,549621;-0,04925257;VALID;0,144301;-0,1266795;0,9813916;0;0;0;62,425;VALID;0,1792981;-0,1259447;0,9756998;-0,0311216;0;0;0,4087356;5,156157;12,61489;0,771117;VALID;0,1093514;-0,1272516;0,9858242;0,0311216;0;0;0,4232716;5,415251;12,7938;0,7602405;0,8707632;0,62433;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2145481;1000147214832;6,387878E+13;0,5125148;2,493729;0,08297873;0,3961489;0,5498229;-0,04893305;VALID;0,1446406;-0,1248207;0,9815798;0;0;0;62,425;VALID;0,1795198;-0,1240979;0,9758956;-0,0311216;0;0;0,408692;5,155607;12,61489;0,7712008;VALID;0,1098832;-0,1253834;0,9860044;0,0311216;0;0;0,4234188;5,417134;12,7938;0,7604273;0,874549;0,5973831;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2145483;1000147214842;6,387878E+13;0,5130847;2,493741;0,08329035;0,3955019;0,5501875;-0,0485183;VALID;0,1446525;-0,1229948;0,9818085;0;0;0;62,425;VALID;0,1792006;-0,12229;0,9761825;-0,0311216;0;0;0,4084896;5,153053;12,61489;0,7712447;VALID;0,1102978;-0,1235437;0,9861903;0,0311216;0;0;0,4234724;5,417819;12,7938;0,7605262;0,8838611;0,5697246;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
