Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
1993971;1000146457006;6,387878E+13;0,3605974;2,588037;0,042472;0,1041968;-0,1730493;0,02377094;VALID;0,08434948;0,1258451;0,9884575;0;0;0;62,5;VALID;0,106373;0,1255786;0,9863644;-0,0311216;0;0;0;4,606437;0;1;VALID;0,06236003;0,1260494;0,990062;0,0311216;0;0;0;4,841532;0;1;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1993973;1000146457016;6,387878E+13;0,3605974;2,588037;0,042472;0,1027578;-0,1676863;0,0241358;VALID;0,09515511;0,1395353;0,9856345;0;0;0;62,5;VALID;0,1174961;0,1392004;0,983269;-0,0311216;0;0;0;4,647024;0;1;VALID;0,07275183;0,1397999;0,9875035;0,0311216;0;0;0;4,837893;0;1;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1993975;1000146457026;6,387878E+13;0,3605974;2,588037;0,042472;0,09778764;-0,1505346;0,02507479;VALID;0,1019273;0,1498697;0,9834378;0;0;0;62,5;VALID;0,125735;0,1494587;0,980741;-0,0311216;0;0;0;4,683598;0;1;VALID;0,0780569;0,1501947;0,9855703;0,0311216;0;0;0;4,812761;0;1;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1993977;1000146457036;6,387878E+13;0,3605974;2,588037;0,042472;0,09584906;-0,1463581;0,02499301;VALID;0,1030981;0,1534173;0,9827685;0;0;0;62,5;VALID;0,1272849;0,1529847;0,979997;-0,0311216;0;0;0;4,672804;0;1;VALID;0,07882602;0,1537593;0,9849592;0,0311216;0;0;0;4,773355;0;1;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1993980;1000146457051;6,387878E+13;0,3605974;2,588037;0,042472;0,09343363;-0,1416832;0,02444152;VALID;0,0991277;0,1564914;0,9826923;0;0;0;62,5;VALID;0,1223341;0,1560847;0,9801387;-0,0311216;0;0;0;4,664373;0;1;VALID;0,0757935;0,1568136;0,9847156;0,0311216;0;0;0;4,740875;0;1;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1993982;1000146457061;6,387878E+13;0,3605974;2,588037;0,042472;0,0911992;-0,1372433;0,02374035;VALID;0,09565449;0,1570211;0,982952;0;0;0;62,5;VALID;0,1188754;0,1566259;0,9804779;-0,0311216;0;0;0;4,651061;0;1;VALID;0,07234819;0,157331;0,9848922;0,0311216;0;0;0;4,728222;0;1;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1993984;1000146457071;6,387878E+13;0,3605974;2,588037;0,042472;0,08929742;-0,1333801;0,02313169;VALID;0,09330776;0,1568753;0,9832008;0;0;0;62,55;VALID;0,1163562;0,1564924;0,9808014;-0,0311216;0;0;0;4,639989;0;1;VALID;0,07022429;0,1571737;0,9850711;0,0311216;0;0;0;4,728022;0;1;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1993987;1000146457086;6,387878E+13;0,3605974;2,588037;0,042472;0,08731327;-0,1291752;0,02247818;VALID;0,08829047;0,1557722;0,9838393;0;0;0;62,55;VALID;0,1130486;0,1553804;0,9813648;-0,0311216;0;0;0;4,624731;0;1;VALID;0,06309992;0,1560713;0,9857283;0,0311216;0;0;0;4,723007;0;1;2;0,02953785;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1993989;1000146457096;6,387878E+13;0,3605974;2,588037;0,042472;0,08598864;-0,1267447;0,02232867;VALID;0,08088674;0,1534833;0,9848351;0;0;0;62,55;VALID;0,1075095;0,1530954;0,9823459;-0,0311216;0;0;0;4,609635;0;1;VALID;0,05369866;0,1537658;0,9866471;0,0311216;0;0;0;4,707152;0;1;1,148764;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1993991;1000146457106;6,387878E+13;0,3605974;2,588037;0,042472;0,08412983;-0,1227041;0,02191653;VALID;0,07041455;0,1510227;0,9860193;0;0;0;62,55;VALID;0,09726607;0,1506806;0,9837859;-0,0311216;0;0;0;4,556803;0;1;VALID;0,04328667;0,1512566;0,9875463;0,0311216;0;0;0;4,693248;0;1;1,146973;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
