Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
2139544;1000147185136;6,387878E+13;0,2520264;2,261224;0,1301152;0,01600833;0,2983608;-0,006847833;VALID;0,1048235;-0,1014923;0,9892984;0;0;0;62,425;VALID;0,1112651;-0,1014208;0,988602;-0,0311216;0;0;0,4390575;5,538664;12,61489;0,9410471;VALID;0,09248124;-0,1016172;0,9905156;0,0311216;0;0;0,432342;5,531295;12,7938;0,96334;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2139547;1000147185151;6,387878E+13;0,2520264;2,261224;0,1301152;0,01577473;0,2983669;-0,006577713;VALID;0,1074269;-0,1133597;0,9877293;0;0;0;62,425;VALID;0,1171914;-0,1132339;0,9866328;-0,0311216;0;0;0,4392599;5,541218;12,61489;0,9416784;VALID;0,0890679;-0,1135664;0,98953;0,0311216;0;0;0,4331102;5,541124;12,7938;0,9577174;2;0;Unknown;Unknown;Board;Table;Unknown;Unknown;Unknown
2139550;1000147185166;6,387878E+13;0,2520264;2,261224;0,1301152;0,01571424;0,2983014;-0,006285623;VALID;0,1085331;-0,1199492;0,9868296;0;0;0;62,425;VALID;0,1252166;-0,1197123;0,9848806;-0,0311216;0;0;0,4392604;5,541224;12,61489;0,9421296;VALID;0,08732808;-0,120201;0,9889011;0,0311216;0;0;0,4345463;5,559496;12,7938;0,9513205;2;0;Unknown;Unknown;Board;Table;Unknown;Unknown;Unknown
2139552;1000147185176;6,387878E+13;0,2520264;2,261224;0,1301152;0,01570742;0,2982175;-0,005994582;VALID;0,108959;-0,1222727;0,9864975;0;0;0;62,425;VALID;0,1293733;-0,1219713;0,9840658;-0,0311216;0;0;0,4393382;5,542206;12,61489;0,9425099;VALID;0,08665612;-0,1225424;0,9886729;0,0311216;0;0;0,4351854;5,567673;12,7938;0,947825;2;0;Unknown;Unknown;Board;Table;Unknown;Unknown;Unknown
2139554;1000147185186;6,387878E+13;0,2520264;2,261224;0,1301152;0,01580499;0,2980793;-0,005678355;VALID;0,1092753;-0,1238215;0,9862693;0;0;0;62,425;VALID;0,1321366;-0,1234752;0,983511;-0,0311216;0;0;0,4395313;5,544641;12,61489;0,9424966;VALID;0,08659256;-0,1240996;0,9884842;0,0311216;0;0;0,4354984;5,571678;12,7938;0,9450878;2;0;Unknown;Unknown;Board;Table;Unknown;Unknown;Unknown
2139557;1000147185201;6,387878E+13;0,2520264;2,261224;0,1301152;0,01592263;0,2980658;-0,005414817;VALID;0,1095366;-0,1248174;0,9861148;0;0;0;62,425;VALID;0,1341113;-0,1244386;0,9831222;-0,0311216;0;0;0,4398613;5,548804;12,61489;0,9421549;VALID;0,08658116;-0,1251014;0,9883589;0,0311216;0;0;0,4358999;5,576814;12,7938;0,9419425;2;0;Unknown;Unknown;Board;Table;Unknown;Unknown;Unknown
2139559;1000147185211;6,387878E+13;0,2520264;2,261224;0,1301152;0,01608223;0,2981269;-0,005144772;VALID;0,1095912;-0,126187;0,9859344;0;0;0;62,425;VALID;0,1341144;-0,1258048;0,9829478;-0,0311216;0;0;0,4374759;5,518713;12,61489;0,9420827;VALID;0,08665389;-0,1264741;0,9881778;0,0311216;0;0;0,4361938;5,580574;12,7938;0,9403109;2;0,2277932;Unknown;Unknown;Board;Table;Unknown;Unknown;Unknown
2139561;1000147185221;6,387878E+13;0,2520264;2,261224;0,1301152;0,01628972;0,2982092;-0,004913763;VALID;0,1096487;-0,1284177;0,9856399;0;0;0;62,425;VALID;0,1329722;-0,1280494;0,9828132;-0,0311216;0;0;0,4372401;5,515738;12,61489;0,9419163;VALID;0,08764029;-0,1286996;0,9878034;0,0311216;0;0;0,4364719;5,584132;12,7938;0,9381315;2;0,5238461;Unknown;Unknown;Board;Table;Unknown;Unknown;Unknown
2139564;1000147185236;6,387878E+13;0,2520264;2,261224;0,1301152;0,01664549;0,2984272;-0,004771552;VALID;0,1096958;-0,1303291;0,9853837;0;0;0;62,425;VALID;0,1317618;-0,1299772;0,9827231;-0,0311216;0;0;0,4372162;5,515436;12,61489;0,9416978;VALID;0,08853326;-0,1306055;0,9874735;0,0311216;0;0;0,4367536;5,587736;12,7938;0,9366965;2;0,7986491;Unknown;Unknown;Board;Table;Unknown;Unknown;Unknown
2139566;1000147185246;6,387878E+13;0,2520264;2,261224;0,1301152;0,01702098;0,2987553;-0,004671972;VALID;0,1097169;-0,130948;0,9852993;0;0;0;62,425;VALID;0,1311728;-0,130605;0,9827187;-0,0311216;0;0;0,4375824;5,520056;12,61489;0,9414881;VALID;0,08893879;-0,1312213;0,9873555;0,0311216;0;0;0,4370354;5,591341;12,7938;0,9356731;2;0,844493;Unknown;Unknown;Board;Table;Unknown;Unknown;Unknown
