Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
2111149;1000147043110;6,387878E+13;0,4557169;2,594795;-0,0752659;0,06768652;0,2502466;-0,01011513;VALID;-0,009406711;-0,3588125;0,9333622;0;0;0;62,225;VALID;0,00188635;-0,3588277;0,9334019;-0,0311216;0;0;0,44926;5,631288;12,53458;0,7098522;VALID;-0,0207096;-0,3587514;0,9332034;0,0311216;0;0;0,4509324;5,731747;12,71088;0,750885;2;0,5489137;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111154;1000147043135;6,387878E+13;0,4556038;2,591737;-0,07415159;0,07159859;0,2491461;-0,009810582;VALID;-0,008556143;-0,3519326;0,9359862;0;0;0;62,225;VALID;0,0007901927;-0,3519454;0,9360202;-0,0311216;0;0;0,4499258;5,639633;12,53458;0,7003796;VALID;-0,01796715;-0,3518887;0,9358694;0,0311216;0;0;0,454044;5,771297;12,71088;0,7182718;2;0,6483805;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111156;1000147043145;6,387878E+13;0,4555398;2,590083;-0,07355123;0,07321287;0,2486947;-0,009531616;VALID;-0,007986506;-0,3492377;0,9370002;0;0;0;62,225;VALID;0,000476856;-0,3492487;0,9370299;-0,0311216;0;0;0,451217;5,655818;12,53458;0,6563342;VALID;-0,01685481;-0,3491992;0,9368969;0,0311216;0;0;0,4552968;5,787222;12,71088;0,6941577;2;0,5000414;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111158;1000147043155;6,387878E+13;0,4554734;2,588383;-0,072948;0,07386927;0,2485212;-0,009287072;VALID;-0,00740733;-0,3414335;0,9398767;0;0;0;62,225;VALID;0,0004416441;-0,3414429;0,9399024;-0,0311216;0;0;0,4516267;5,660953;12,53458;0,6361129;VALID;-0,01616365;-0,3413983;0,9397798;0,0311216;0;0;0,4550487;5,784069;12,71088;0,6791324;2;0,3799164;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111160;1000147043165;6,387878E+13;0,4553968;2,58662;-0,07238173;0,07544853;0,2479995;-0,009412176;VALID;-0,006956358;-0,3314308;0,9434538;0;0;0;62,225;VALID;0,0002113601;-0,3314388;0,9434767;-0,0311216;0;0;0,4517499;5,662497;12,53458;0,62187;VALID;-0,01496883;-0,3314017;0,943371;0,0311216;0;0;0,454095;5,771946;12,71088;0,6722255;2;0,3331122;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111162;1000147043175;6,387878E+13;0,4552714;2,58484;-0,07181482;0,07655139;0,247761;-0,009771272;VALID;-0,007489782;-0,3352412;0,9421026;0;0;0;62,225;VALID;-0,001460817;-0,3352503;0,942128;-0,0311216;0;0;0,4515895;5,660487;12,53458;0,5982156;VALID;-0,01497937;-0,335213;0,9420233;0,0311216;0;0;0,4542092;5,773398;12,71088;0,6577055;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111165;1000147043190;6,387878E+13;0,4550713;2,582786;-0,07120148;0,0786734;0,2471054;-0,01015994;VALID;-0,01440981;-0,3492334;0,936925;0;0;0;62,225;VALID;-0,00815641;-0,349258;0,9369911;-0,0311216;0;0;0,4491071;5,629372;12,53458;0,5459043;VALID;-0,02062917;-0,3491953;0,9368228;0,0311216;0;0;0,4564533;5,801922;12,71088;0,6070253;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111167;1000147043200;6,387878E+13;0,4548659;2,580747;-0,07051947;0,07990608;0,2465399;-0,0103571;VALID;-0,01914463;-0,3706448;0,9285774;0;0;0;62,225;VALID;-0,01003313;-0,3706941;0,9287009;-0,0311216;0;0;0,4494118;5,633191;12,53458;0,5277749;VALID;-0,02814013;-0,3705659;0,9283798;0,0311216;0;0;0,4567084;5,805165;12,71088;0,576308;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111169;1000147043210;6,387878E+13;0,4546719;2,578757;-0,06982962;0,08165812;0,2457537;-0,01033793;VALID;-0,02724317;-0,3919228;0,9195946;0;0;0;62,225;VALID;-0,01405027;-0,3920296;0,9198453;-0,0311216;0;0;0,4506246;5,648392;12,53458;0,5069602;VALID;-0,04190446;-0,3917239;0,9191281;0,0311216;0;0;0,4581397;5,823359;12,71088;0,5547793;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111171;1000147043220;6,387878E+13;0,4544338;2,576682;-0,06899109;0,08321392;0,2449185;-0,009945692;VALID;-0,03654579;-0,4107336;0,9110227;0;0;0;62,225;VALID;-0,02081136;-0,4109191;0,9114342;-0,0311216;0;0;0,4517274;5,662216;12,53458;0,4974401;VALID;-0,05555785;-0,4103733;0,9102237;0,0311216;0;0;0,4619198;5,871407;12,71088;0,545632;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111174;1000147043235;6,387878E+13;0,4541765;2,574621;-0,06811675;0,08330559;0,2445063;-0,009135372;VALID;-0,05106921;-0,4310517;0,9008809;0;0;0;62,225;VALID;-0,034845;-0,4313528;0,9015102;-0,0311216;0;0;0,4527346;5,67484;12,53458;0,4852296;VALID;-0,07679316;-0,4303404;0,8993942;0,0311216;0;0;0,4632638;5,88849;12,71088;0,5379133;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111176;1000147043245;6,387878E+13;0,4538791;2,572577;-0,06723908;0,08449547;0,2438569;-0,008470163;VALID;-0,06015266;-0,4385382;0,8966972;0;0;0;62,225;VALID;-0,04333495;-0,4389211;0,89748;-0,0311216;0;0;0,4525526;5,672559;12,53458;0,4819604;VALID;-0,0884441;-0,4376121;0,8948035;0,0311216;0;0;0,4612655;5,86309;12,71088;0,5365657;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111178;1000147043255;6,387878E+13;0,4535209;2,570528;-0,06628875;0,08452187;0,2434177;-0,007585927;VALID;-0,06767651;-0,4377329;0,8965544;0;0;0;62,225;VALID;-0,05071018;-0,4381743;0,8974585;-0,0311216;0;0;0,451481;5,659126;12,53458;0,4858913;VALID;-0,09810695;-0,4366222;0,8942797;0,0311216;0;0;0,4585927;5,829115;12,71088;0,5288585;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111180;1000147043265;6,387878E+13;0,4531086;2,568508;-0,0653754;0,08526748;0,2427106;-0,007144677;VALID;-0,07284978;-0,4340626;0,8979324;0;0;0;62,225;VALID;-0,05576661;-0,4345417;0,8989236;-0,0311216;0;0;0,4506825;5,649117;12,53458;0,48857;VALID;-0,1017209;-0,4329615;0,8956546;0,0311216;0;0;0,4554225;5,78882;12,71088;0,5229372;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111185;1000147043290;6,387878E+13;0,4532852;2,570197;-0,06606638;0,08827877;0,2409442;-0,007661936;VALID;-0,07900959;-0,4214766;0,9033908;0;0;0;62,225;VALID;-0,06479095;-0,42191;0,9043197;-0,0311216;0;0;0,4494021;5,633069;12,53458;0,4926634;VALID;-0,09833376;-0,4207493;0,9018317;0,0311216;0;0;0,4536662;5,766495;12,71088;0,5298239;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111189;1000147043310;6,387878E+13;0,4532852;2,570197;-0,06606638;0,1086635;0,2332037;-0,008574746;VALID;-0,07904362;-0,4132688;0,907172;0;0;0;62,225;VALID;-0,06737625;-0,4136239;0,9079514;-0,0311216;0;0;0,4467304;5,59958;12,53458;0,4999616;VALID;-0,09419169;-0,4127228;0,9059734;0,0311216;0;0;0,4532689;5,761446;12,71088;0,5410628;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111194;1000147043335;6,387878E+13;0,4532852;2,570197;-0,06606638;0,1266679;0,2260904;-0,009088246;VALID;-0,07606483;-0,3812453;0,9213393;0;0;0;62,225;VALID;-0,06516362;-0,3815403;0,9220524;-0,0311216;0;0;0,4458637;5,588717;12,53458;0,5204015;VALID;-0,09152693;-0,3807481;0,9201379;0,0311216;0;0;0,4545017;5,777115;12,71088;0,5577414;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111198;1000147043355;6,387878E+13;0,4532852;2,570197;-0,06606638;0,1436388;0,2194386;-0,009036688;VALID;-0,07483717;-0,3583881;0,9305683;0;0;0;62,225;VALID;-0,06463425;-0,3586445;0,9312339;-0,0311216;0;0;0,4455015;5,584177;12,53458;0,5321501;VALID;-0,08601779;-0,3580639;0,9297264;0,0311216;0;0;0,4544103;5,775954;12,71088;0,5661861;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111200;1000147043365;6,387878E+13;0,4532852;2,570197;-0,06606638;0,1524687;0,2160677;-0,008949749;VALID;-0,07405642;-0,3488452;0,9342498;0;0;0;62,225;VALID;-0,06390316;-0,3490908;0,9349075;-0,0311216;0;0;0,445749;5,587279;12,53458;0,5369819;VALID;-0,08215855;-0,3486231;0,9336551;0,0311216;0;0;0,4538697;5,769083;12,71088;0,5692706;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111204;1000147043385;6,387878E+13;0,4532852;2,570197;-0,06606638;0,1609736;0,212737;-0,009006685;VALID;-0,06968819;-0,332249;0,9406137;0;0;0;62,225;VALID;-0,06221465;-0,3324136;0,9410794;-0,0311216;0;0;0,446883;5,601492;12,53458;0,5436068;VALID;-0,07422055;-0,3321401;0,9403054;0,0311216;0;0;0,4524998;5,75167;12,71088;0,5738907;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111207;1000147043400;6,387878E+13;0,4532852;2,570197;-0,06606638;0,1767672;0,2068901;-0,009492094;VALID;-0,06431613;-0,3198503;0,9452826;0;0;0;62,225;VALID;-0,05855429;-0,319964;0,9456186;-0,0311216;0;0;0,4472096;5,605587;12,53458;0,5477482;VALID;-0,06812274;-0,3197693;0,9450433;0,0311216;0;0;0,4521023;5,746618;12,71088;0,5764218;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111210;1000147043415;6,387878E+13;0,4532852;2,570197;-0,06606638;0,1879634;0,2028325;-0,0101216;VALID;-0,05966038;-0,3090051;0,9491873;0;0;0;62,225;VALID;-0,0550658;-0,3090868;0,9494383;-0,0311216;0;0;0,447144;5,604764;12,53458;0,5513887;VALID;-0,06307164;-0,3089402;0,9489878;0,0311216;0;0;0,4515787;5,739962;12,71088;0,5789444;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
2111214;1000147043435;6,387878E+13;0,4462606;2,542038;-0,05291361;0,1946617;0,1999913;-0,01053989;VALID;-0,05285635;-0,2943775;0,9542264;0;0;0;62,225;VALID;-0,04999962;-0,2944209;0,954367;-0,0311216;0;0;0,4462001;5,592933;12,53458;0,555289;VALID;-0,05513977;-0,2943411;0,9541084;0,0311216;0;0;0,4522602;5,748625;12,71088;0,604361;2;0;Unknown;Unknown;Board;Chair;Unknown;Unknown;Unknown
