Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
2112962;1000147052178;6,387878E+13;0,4840195;2,600977;-0,004468465;0,173497;0,4406447;-0,04832437;VALID;0,004405897;-0,3343228;0,9424483;0;0;0;62,225;VALID;0,02641229;-0,3342094;0,9421287;-0,0311216;0;0;0,3829683;4,800349;12,53458;0,7320459;VALID;-0,01787448;-0,3342727;0,9423069;0,0311216;0;0;0,3864765;4,912456;12,71088;0,7587612;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2112964;1000147052188;6,387878E+13;0,4823084;2,599043;-0,003281025;0,1787552;0,436269;-0,05073013;VALID;0,007530399;-0,3304584;0,9437906;0;0;0;62,225;VALID;0,02906987;-0,3303281;0,9434184;-0,0311216;0;0;0,3845071;4,819636;12,53458;0,7310843;VALID;-0,01440782;-0,3304334;0,9437193;0,0311216;0;0;0,3869661;4,91868;12,71088;0,7576097;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2112966;1000147052198;6,387878E+13;0,4821311;2,597762;-0,002560515;0,183351;0,4326047;-0,05247331;VALID;0,01030678;-0,320223;0,9472861;0;0;0;62,225;VALID;0,03249136;-0,3200709;0,9468363;-0,0311216;0;0;0,3858464;4,836424;12,53458;0,7304054;VALID;-0,01226843;-0,3202159;0,9472651;0,0311216;0;0;0,3886643;4,940265;12,71088;0,7577229;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2112968;1000147052208;6,387878E+13;0,4829855;2,596792;-0,002234818;0,1878174;0,4290861;-0,05359961;VALID;0,01214363;-0,3058281;0,9520093;0;0;0;62,225;VALID;0,03442756;-0,3056694;0,9515151;-0,0311216;0;0;0,3872093;4,853508;12,53458;0,7309328;VALID;-0,01049531;-0,3058338;0,9520271;0,0311216;0;0;0,3896931;4,953341;12,71088;0,7602662;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2112971;1000147052223;6,387878E+13;0,4828397;2,595659;-0,001638751;0,1919289;0,4261619;-0,05422073;VALID;0,01940208;-0,2836007;0,9587462;0;0;0;62,225;VALID;0,04027183;-0,283424;0,9581488;-0,0311216;0;0;0,3895483;4,882826;12,53458;0,732399;VALID;-0,001335588;-0,2836538;0,9589258;0,0311216;0;0;0,3905719;4,964511;12,71088;0,7684108;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2112973;1000147052233;6,387878E+13;0,4820724;2,59435;-0,0009436968;0,1963288;0,4233409;-0,05461051;VALID;0,02601581;-0,2708269;0,9622765;0;0;0;62,225;VALID;0,04576174;-0,2706348;0,9615938;-0,0311216;0;0;0,3902885;4,892104;12,53458;0,7335039;VALID;0,006536057;-0,2709128;0,9625817;0,0311216;0;0;0,3924628;4,988547;12,71088;0,7744928;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2112975;1000147052243;6,387878E+13;0,4818451;2,593166;-0,0005004742;0,2006873;0,4209229;-0,05519178;VALID;0,03227925;-0,260362;0,9649713;0;0;0;62,225;VALID;0,05050731;-0,2601653;0,9642422;-0,0311216;0;0;0,3903943;4,893431;12,53458;0,7349792;VALID;0,01442928;-0,2604707;0,9653739;0,0311216;0;0;0,3946703;5,016607;12,71088;0,7801738;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2112977;1000147052253;6,387878E+13;0,4807189;2,591704;0,0001530049;0,2050068;0,4187485;-0,05583166;VALID;0,03929074;-0,249177;0,9676606;0;0;0;62,225;VALID;0,05649627;-0,2489712;0,9668617;-0,0311216;0;0;0,3910462;4,901602;12,53458;0,7369854;VALID;0,02237571;-0,2493071;0,9681659;0,0311216;0;0;0,3946439;5,016271;12,71088;0,7855225;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2112979;1000147052263;6,387878E+13;0,4802888;2,590544;0,0007649036;0,2084494;0,4169021;-0,05636053;VALID;0,04589413;-0,2404032;0,9695876;0;0;0;62,225;VALID;0,06267836;-0,2401836;0,9687018;-0,0311216;0;0;0,3921472;4,915403;12,53458;0,7392657;VALID;0,02925029;-0,2405538;0,970195;0,0311216;0;0;0,3956007;5,028432;12,71088;0,7898;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2112982;1000147052278;6,387878E+13;0,4802206;2,589658;0,001121575;0,2115207;0,4152897;-0,05664197;VALID;0,05345567;-0,2304852;0,9716064;0;0;0;62,225;VALID;0,07020994;-0,2302456;0,9705965;-0,0311216;0;0;0,3939666;4,938208;12,53458;0,7423049;VALID;0,03670327;-0,2306597;0,972342;0,0311216;0;0;0,3986467;5,06715;12,71088;0,7957605;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
