Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
2141870;1000147196770;6,387878E+13;0,2886999;2,598211;-0,2289361;0,04567895;-0,6590633;0,02910752;VALID;-0,2754754;0,1947207;0,9413804;0;0;0;62,425;VALID;-0,2612982;0,1955208;0,9452485;-0,0311216;0;0;0,3470586;4,378108;12,61489;0,9552195;VALID;-0,2982059;0,1933419;0,934715;0,0311216;0;0;0,3542038;4,53161;12,7938;0,9197875;2;0,2311429;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141873;1000147196785;6,387878E+13;0,2886674;2,598194;-0,2288935;0,04561662;-0,6613479;0,02927165;VALID;-0,2705436;0,1951663;0,9427175;0;0;0;62,425;VALID;-0,2556249;0,1959911;0,9467013;-0,0311216;0;0;0,3448152;4,349808;12,61489;0,9561294;VALID;-0,2927454;0,1938451;0,9363355;0,0311216;0;0;0,3529043;4,514986;12,7938;0,9382553;2;0,4064086;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141875;1000147196795;6,387878E+13;0,2886129;2,598219;-0,2288761;0,04560848;-0,6634348;0,029411;VALID;-0,2622879;0,1950948;0,9450625;0;0;0;62,425;VALID;-0,2473403;0,1958912;0,9489201;-0,0311216;0;0;0,3388642;4,274737;12,61489;0,9583509;VALID;-0,2825331;0,1939359;0,9394487;0,0311216;0;0;0,3311246;4,23634;12,7938;0,9489202;2;0,06298592;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141878;1000147196810;6,387878E+13;0,2885884;2,598153;-0,228781;0,04553914;-0,6654541;0,02946487;VALID;-0,2036138;0,1527127;0,9670678;0;0;0;62,425;VALID;-0,1828365;0,153351;0,9711098;-0,0311216;0;0;0,3382933;4,267534;12,61489;0,9611336;VALID;-0,2253143;0,1519694;0,962361;0,0311216;0;0;0,3443407;4,405425;12,7938;0,9534616;2;0;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141880;1000147196820;6,387878E+13;0,2885488;2,59815;-0,2287224;0,04549988;-0,6672108;0,02957825;VALID;-0,144043;0,09786501;0,9847203;0;0;0;62,425;VALID;-0,1177948;0,09820784;0,9881698;-0,0311216;0;0;0,33352;4,20732;12,61489;0,9613842;VALID;-0,1761406;0,09735011;0,9795394;0,0311216;0;0;0,3509283;4,489705;12,7938;0,9574337;1,043282;0;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141882;1000147196830;6,387878E+13;0,2884986;2,59812;-0,228533;0,04547197;-0,6692281;0,02965314;VALID;-0,08419587;0,04834053;0,995276;0;0;0;62,425;VALID;-0,05425489;0,04844133;0,9973514;-0,0311216;0;0;0,3320757;4,1891;12,61489;0,9609259;VALID;-0,1187058;0,04816977;0,9917604;0,0311216;0;0;0,3479068;4,451048;12,7938;0,9566472;0,9580144;0;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141885;1000147196845;6,387878E+13;0,2884218;2,598083;-0,2284414;0,04548388;-0,6711445;0,02983643;VALID;-0,03026751;0,004778663;0,9995304;0;0;0;62,425;VALID;0,0009573713;0,004780851;0,9999881;-0,0311216;0;0;0,3281121;4,139099;12,61489;0,9589441;VALID;-0,0631348;0,004771315;0,9979936;0,0311216;0;0;0,3478496;4,450316;12,7938;0,9563097;0,969713;0;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141887;1000147196855;6,387878E+13;0,288391;2,597981;-0,2282853;0,04543674;-0,6728333;0,02993876;VALID;-0,0180256;-0,002158592;0,9998352;0;0;0;62,425;VALID;0,01235658;-0,002158778;0,9999213;-0,0311216;0;0;0,3278796;4,136167;12,61489;0,9567579;VALID;-0,04925038;-0,002156323;0,9987841;0,0311216;0;0;0,3471174;4,440949;12,7938;0,9568076;1,009504;0;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141889;1000147196865;6,387878E+13;0,2884134;2,597901;-0,2280626;0,04534222;-0,6747628;0,03016444;VALID;-0,01160859;-0,004891885;0,9999207;0;0;0;62,425;VALID;0,01459725;-0,004891694;0,9998815;-0,0311216;0;0;0,3273725;4,12977;12,61489;0,954532;VALID;-0,03809861;-0,004888663;0,999262;0,0311216;0;0;0,3442678;4,404491;12,7938;0,9575804;1,180605;0;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141892;1000147196880;6,387878E+13;0,2883419;2,597868;-0,2279823;0,04544459;-0,6766285;0,03038252;VALID;-0,004963928;-0,00718677;0,9999619;0;0;0;62,425;VALID;0,0183614;-0,007185648;0,9998056;-0,0311216;0;0;0,3262726;4,115894;12,61489;0,9518332;VALID;-0,02826499;-0,007183988;0,9995747;0,0311216;0;0;0,3409802;4,362431;12,7938;0,9588129;2;0;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141894;1000147196890;6,387878E+13;0,2881607;2,597837;-0,2279203;0,04537988;-0,6787877;0,03061449;VALID;-0,002995638;-0,007995404;0,9999635;0;0;0;62,425;VALID;0,01970997;-0,007993887;0,9997738;-0,0311216;0;0;0,3246031;4,094833;12,61489;0,9503441;VALID;-0,0256539;-0,007992809;0,9996389;0,0311216;0;0;0,3390522;4,337764;12,7938;0,9593282;2;0;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141897;1000147196905;6,387878E+13;0,2880491;2,597741;-0,2278271;0,04532259;-0,6807635;0,03060826;VALID;-5,51274E-05;-0,009083463;0,9999588;0;0;0;62,425;VALID;0,02244296;-0,009081175;0,9997069;-0,0311216;0;0;0,3221867;4,064351;12,61489;0,9483063;VALID;-0,02248919;-0,009081165;0,9997059;0,0311216;0;0;0,3358851;4,297245;12,7938;0,9607273;2;0;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141899;1000147196915;6,387878E+13;0,2879162;2,597627;-0,2276896;0,04543822;-0,6823108;0,03076601;VALID;0,001879296;-0,009895813;0,9999493;0;0;0;62,425;VALID;0,02408846;-0,009892959;0,9996609;-0,0311216;0;0;0,3206697;4,045215;12,61489;0,9472825;VALID;-0,02027617;-0,009893795;0,9997455;0,0311216;0;0;0,3349983;4,285899;12,7938;0,9610974;2;0;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141901;1000147196925;6,387878E+13;0,2877862;2,597543;-0,2275588;0,04552197;-0,6840828;0,03092315;VALID;0,004490074;-0,0103783;0,999936;0;0;0;62,425;VALID;0,02558512;-0,01037501;0,9996188;-0,0311216;0;0;0,3193603;4,028697;12,61489;0,9463252;VALID;-0,01649438;-0,01037699;0,9998101;0,0311216;0;0;0,3343604;4,277738;12,7938;0,9620285;2;0,2116277;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
2141904;1000147196940;6,387878E+13;0,2876178;2,59742;-0,2274318;0,04562417;-0,6857948;0,03105922;VALID;0,006583597;-0,01063776;0,9999217;0;0;0;62,425;VALID;0,02961669;-0,01063332;0,9995047;-0,0311216;0;0;0,3172101;4,001573;12,61489;0,9450521;VALID;-0,0164527;-0,01063655;0,9998081;0,0311216;0;0;0,3310147;4,234934;12,7938;0,9637169;2;0,5064099;Unknown;Unknown;Board;Wall2;Unknown;Unknown;Unknown
