Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
2109365;1000147034186;6,387878E+13;0,4251954;2,597574;-0,05034445;0,09506734;0,0804245;-0,01672616;VALID;0,3779026;0,5958344;0,7086403;0;0;0;62,225;VALID;0,3779071;0,5958332;0,7086388;-0,0311216;0;0;0,4387868;5,50001;12,53458;0,5173935;VALID;0;0;0;0;0;0;0;0;0;0;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2109368;1000147034201;6,387878E+13;0,4281375;2,59746;-0,05146495;0,09438655;0,09612305;-0,01739966;VALID;0,5236675;0,3122199;0,7926481;0;0;0;62,225;VALID;0,5236602;0,3122215;0,7926523;-0,0311216;0;0;0,4406327;5,523148;12,53458;0,5565616;VALID;0,5775136;-0,0410553;0,815348;0,0311216;0;0;0,4153917;5,279994;12,71088;0,40757;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2109370;1000147034211;6,387878E+13;0,4312773;2,597635;-0,05104788;0,09353481;0,1112056;-0,01809393;VALID;0,5754908;0,07466886;0,8143923;0;0;0;62,225;VALID;0,5754868;0,07466912;0,8143951;-0,0311216;0;0;0,4411052;5,52907;12,53458;0,5810418;VALID;0,5184468;0,02707979;0,854681;0,0311216;0;0;0,4521547;5,747283;12,71088;0,4650219;0,4967174;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2109374;1000147034231;6,387878E+13;0,4363543;2,597933;-0,05067162;0,09186964;0,1419552;-0,01931948;VALID;0,5807232;0,07734;0,8104191;0;0;0;62,225;VALID;0,5807226;0,07734004;0,8104195;-0,0311216;0;0;0,4091744;5,128831;12,53458;0,622936;VALID;0,5813565;0,04122036;0,8126041;0,0311216;0;0;0,4945467;6,286122;12,71088;0,5603944;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2109378;1000147034251;6,387878E+13;0,4424947;2,598107;-0,05135011;0,09002586;0,1759523;-0,01970747;VALID;0,5951654;0,07622097;0,7999803;0;0;0;62,225;VALID;0,5951644;0,07622105;0,7999811;-0,0311216;0;0;0,4121768;5,166465;12,53458;0,6527197;VALID;0,5984743;0,06092227;0,7988222;0,0311216;0;0;0,4963036;6,308455;12,71088;0,6207039;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2109383;1000147034276;6,387878E+13;0,4484827;2,598481;-0,05137949;0,08821605;0,2089402;-0,01928549;VALID;0,5834948;0,06013685;0,8098872;0;0;0;62,225;VALID;0,5834956;0,06013682;0,8098867;-0,0311216;0;0;0,4247326;5,323846;12,53458;0,7383875;VALID;0,5811486;0,05929548;0,8116344;0,0311216;0;0;0,4888388;6,21357;12,71088;0,71026;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2109385;1000147034286;6,387878E+13;0,4511938;2,598727;-0,05151037;0,08748821;0,2270863;-0,01866434;VALID;0,5715598;0,05007723;0,8190309;0;0;0;62,225;VALID;0,5715629;0,05007709;0,8190287;-0,0311216;0;0;0,4199696;5,264145;12,53458;0,7818142;VALID;0,561483;0,05659755;0,8255504;0,0311216;0;0;0,4645205;5,904464;12,71088;0,7435411;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2109387;1000147034296;6,387878E+13;0,4538921;2,598888;-0,05164998;0,08655706;0,2430783;-0,0180118;VALID;0,5673502;0,04298955;0,8223537;0;0;0;62,225;VALID;0,5673521;0,04298948;0,8223524;-0,0311216;0;0;0,5203835;6,522791;12,53458;0,8144012;VALID;0,5491614;0,05529749;0,8338848;0,0311216;0;0;0,461084;5,860783;12,71088;0,7839209;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2109390;1000147034311;6,387878E+13;0,4565854;2,599118;-0,05188322;0,08629666;0,2587309;-0,01734843;VALID;0,5423211;0,04243611;0,8390989;0;0;0;62,225;VALID;0,5423173;0,04243623;0,8391014;-0,0311216;0;0;0,5226793;6,551568;12,53458;0,84628;VALID;0,5365547;0,05292699;0,8422042;0,0311216;0;0;0,4562522;5,799366;12,71088;0,8333068;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
2109392;1000147034321;6,387878E+13;0,4596013;2,599143;-0,05328061;0,08496818;0,2740994;-0,01716061;VALID;0,5154963;0,04514282;0,8557019;0;0;0;62,225;VALID;0,5154928;0,04514293;0,8557039;-0,0311216;0;0;0,4394576;5,508419;12,53458;0,8592402;VALID;0,527861;0,05236436;0,847715;0,0311216;0;0;0,4568673;5,807185;12,71088;0,8561449;2;0;Unknown;Unknown;Board;Projector;Unknown;Unknown;Unknown
