Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
679628;1000528965582;63866408251880;0,129;1,623;0,450;0,025;-0,124;0,034;VALID;-0,337;-0,308;0,890;0,000;0,000;0,000;62,450;VALID;-0,337;-0,308;0,890;-0,030;0,000;0,000;0,388;4,930;12,701;0,661;VALID;-0,337;-0,308;0,890;0,030;0,000;0,000;0,376;4,880;12,994;0,574;2;0,9715921;0;;1;Nothing tracked;;;0;
679629;1000528965587;63866408251880;0,129;1,623;0,450;0,025;-0,124;0,034;VALID;-0,337;-0,308;0,890;0,000;0,000;0,000;62,450;VALID;-0,337;-0,308;0,890;-0,030;0,000;0,000;0,388;4,932;12,701;0,661;VALID;-0,337;-0,308;0,890;0,030;0,000;0,000;0,376;4,881;12,994;0,572;2;0,9804632;0;;1;Nothing tracked;;;0;
679630;1000528965592;63866408251880;0,129;1,623;0,450;0,025;-0,124;0,034;VALID;-0,337;-0,308;0,890;0,000;0,000;0,000;62,450;VALID;-0,337;-0,308;0,890;-0,030;0,000;0,000;0,389;4,936;12,701;0,660;VALID;-0,337;-0,308;0,890;0,030;0,000;0,000;0,376;4,882;12,994;0,569;2;0,8627119;0;;1;Nothing tracked;;;0;
679631;1000528965597;63866408251880;0,129;1,623;0,450;0,025;-0,124;0,034;VALID;-0,338;-0,308;0,889;0,000;0,000;0,000;62,450;VALID;-0,338;-0,308;0,889;-0,030;0,000;0,000;0,389;4,939;12,701;0,660;VALID;-0,338;-0,308;0,889;0,030;0,000;0,000;0,376;4,885;12,994;0,566;2;0,6917025;0;;1;Nothing tracked;;;0;
679632;1000528965602;63866408251880;0,129;1,623;0,450;0,025;-0,124;0,034;VALID;-0,338;-0,309;0,889;0,000;0,000;0,000;62,450;VALID;-0,338;-0,309;0,889;-0,030;0,000;0,000;0,389;4,942;12,701;0,659;VALID;-0,338;-0,309;0,889;0,030;0,000;0,000;0,379;4,931;12,994;0,562;2;0,6502839;0;;1;Nothing tracked;;;0;
679633;1000528965607;63866408251880;0,129;1,623;0,450;0,025;-0,124;0,034;VALID;-0,338;-0,310;0,889;0,000;0,000;0,000;62,450;VALID;-0,338;-0,310;0,889;-0,030;0,000;0,000;0,390;4,959;12,701;0,658;VALID;-0,338;-0,310;0,889;0,030;0,000;0,000;0,387;5,026;12,994;0,555;2;0,627889;0;;1;Nothing tracked;;;0;
679634;1000528965612;63866408251880;0,129;1,623;0,450;0,025;-0,124;0,034;VALID;-0,337;-0,308;0,890;0,000;0,000;0,000;62,450;VALID;-0,337;-0,308;0,890;-0,030;0,000;0,000;0,391;4,964;12,701;0,658;VALID;-0,337;-0,308;0,890;0,030;0,000;0,000;0,383;4,976;12,994;0,559;2;0;0;;1;Nothing tracked;;;0;
679635;1000528965617;63866408251880;0,129;1,623;0,450;0,025;-0,124;0,034;VALID;-0,332;-0,301;0,894;0,000;0,000;0,000;62,450;VALID;-0,332;-0,301;0,894;-0,030;0,000;0,000;0,392;4,973;12,701;0,658;VALID;-0,332;-0,301;0,894;0,030;0,000;0,000;0,388;5,035;12,994;0,562;2;0;0;;1;Nothing tracked;;;0;
679636;1000528965622;63866408251880;0,129;1,623;0,450;0,025;-0,124;0,034;VALID;-0,319;-0,286;0,903;0,000;0,000;0,000;62,450;VALID;-0,319;-0,286;0,903;-0,030;0,000;0,000;0,392;4,977;12,701;0,659;VALID;-0,319;-0,286;0,903;0,030;0,000;0,000;0,391;5,076;12,994;0,563;2;0;0;;1;Nothing tracked;;;0;
679637;1000528965627;63866408251880;0,129;1,623;0,450;0,025;-0,124;0,034;VALID;-0,302;-0,265;0,916;0,000;0,000;0,000;62,450;VALID;-0,302;-0,265;0,916;-0,030;0,000;0,000;0,393;4,998;12,701;0,660;VALID;-0,302;-0,265;0,916;0,030;0,000;0,000;0,393;5,113;12,994;0,563;2;0;0;;1;Nothing tracked;;;0;
